Stations/December,ITO_CPCB,NSIT_DWARKA_CPCB,DTU_CPCB,SHADIPUR_CPCB,DILSHAD_GARDEN_CPCB
1,376,377,271,316,NA
2,352,354,273,255,NA
3,313,309,257,253,NA
4,293,317,284,224,263
5,275,327,235,203,254
6,283,300,239,253,230
7,332,297,302,326,288
8,341,314,308,331,283
9,321,355,NA,333,237
10,329,333,NA,315,233
11,321,334,280,306,240
12,369,344,323,409,269
13,398,365,369,383,307
14,NA,338,290,346,248
15,NA,350,289,375,256
16,NA,367,247,415,275
17,370,355,179,355,236
18,346,350,268,320,236
19,308,318,229,286,197
20,309,310,238,276,244
21,403,353,327,397,293
22,459,388,359,455,318
23,449,457,363,459,351
24,431,437,363,470,340
25,405,363,363,402,296
26,416,385,356,406,NA
27,385,371,296,378,336
28,401,302,261,359,282
29,412,363,299,392,330
30,NA,382,390,404,308
31,393,373,301,380,274
